2007-01 2
2007-02 19
2007-03 46
2007-04 29
2007-05 6
2007-06 18
2007-08 3
2007-09 4
2007-10 7
2007-11 2
2007-12 10
2008-01 25
2008-02 9
2008-03 11
2008-04 34
2008-05 10
2008-06 2
2008-07 10
2008-08 6
2008-09 3
2008-10 8
2008-11 5
2008-12 8
2009-01 28
2009-03 1
2009-04 1
2009-05 2
2009-06 13
2009-07 1
2009-09 2
2009-11 1
2009-12 1
2010-01 2
2010-02 1
2010-03 7
2010-04 1
2010-07 2
2010-09 16
2010-10 3
2010-11 4
2010-12 13
2011-01 3
2011-02 2
2011-03 2
2011-04 7
2011-05 1
2011-06 17
2011-07 15
2011-08 4
2011-10 9
2011-11 8
2011-12 5
2012-01 3
2012-02 35
2012-03 9
2012-04 9
2012-05 7
2012-06 9
2012-07 11
2012-08 18
2012-09 19
2012-10 16
2012-11 11
2012-12 6
2013-01 75
2013-02 59
2013-03 57
2013-04 51
2013-05 22
2013-06 28
2013-07 53
2013-08 43
2013-09 65
2013-10 50
2013-11 45
2013-12 23
2014-01 11
2014-02 40
2014-03 34
2014-04 77
2014-05 44
2014-06 44
2014-07 39
2014-08 28
2014-09 24
2014-10 68
2014-11 32
2014-12 78
2015-01 92
2015-02 54
2015-03 24
2015-04 44
2015-05 38
2015-06 96
2015-07 55
2015-08 44
2015-09 52
2015-10 74
2015-11 76
2015-12 9
2016-01 102
2016-02 23
2016-03 97
2016-04 37
2016-05 58
2016-06 54
2016-07 58
2016-08 89
2016-09 99
2016-10 95
2016-11 192
2016-12 40
2017-01 69
2017-02 86
2017-03 44
2017-04 21
2017-05 58
2017-06 39
2017-07 35
2017-08 114
2017-09 68
2017-10 58
2017-11 13
